术语,释义
伽蓝,梵语 saṃghārāma 的略称，意为僧众共住的寺院或园林。
小乘,早期佛教部派的统称，强调个人解脱，后被大乘称为“小乘”（今多称上座部佛教）。
大乘,梵语 Mahāyāna，主张普度众生、行菩萨道以成就佛果的佛教流派。
僧徒,泛指佛教出家修行者，即僧人。
天祠,供奉印度教或其他外道天神（如大自在天、那罗延天）的庙宇，非佛教场所。
昭怙厘,古代龟兹国著名佛寺名，见于《大唐西域记》。
昭怙厘伽蓝,即昭怙厘寺，西域重要佛教寺院。
佛堂,供奉佛像、举行礼拜或诵经的殿堂。
佛像,佛陀形象的雕塑、绘画或铸造像，用于供养、观想与礼拜。
斋戒,佛教徒持守的清净规范，包括过午不食、不杀生、不饮酒等，常于特定节日或修行时实行。
阿奢理贰伽蓝,疑为梵语 Aśvajit 或类似音译的寺院名，具体所指待考，可能为西域某伽蓝。
窣堵波,梵语 stūpa，即佛塔，用于供奉舍利、佛发、佛爪或纪念佛陀事迹。
纳缚僧伽蓝,梵语 Nava Saṃghārāma，意为“新寺”，玄奘《大唐西域记》中提及的寺院名。
佛澡罐,佛陀洗浴所用的圣器，后世作为供养圣物之一。
佛牙,佛陀涅槃后遗留的牙齿舍利，为佛教重要圣物（如斯里兰卡康提佛牙寺所供）。
佛齿,同“佛牙”。
佛扫帚,传说中佛陀亲自使用过的扫帚，象征清净，亦为信徒供养的圣物。
舍利,梵语 śarīra，指佛陀或高僧火化后遗留的结晶体或遗骨，具神圣性。
精庐,清修之所，常指山林中简朴的修行小屋或静室。
菩提树,毕钵罗树（Ficus religiosa），佛陀于其下成道，故称菩提树，象征觉悟。
僧伽胝,梵语 saṃghāṭī，比丘三衣中的大衣（九条以上），用于正式集会或入聚落。
郁多罗僧,梵语 uttarāsaṅga，比丘三衣中的上衣（七条衣），覆左肩右袒。
僧却崎,梵语 saṃkakṣikā，比丘内衣或覆腋衣，用于遮蔽身体。
钵,梵语 pātra，比丘乞食用的食器，通常为铁或陶制，不得蓄金银。
锡杖,僧人所持之杖，顶端有金属环，振动作响以驱蛇、惊虫，亦表身份。
释迦,释迦牟尼佛的简称，意为“释迦族的圣人”。
如来,佛陀十号之一，意为“乘如实道来成正觉”。
释迦如来,即释迦牟尼佛，佛教创始人。
萨缚达多王,净饭王（Śuddhodana）的异译，佛陀之父，迦毗罗卫国国王。
尸毗迦王,即尸毗王（King Śibi），本生故事中割肉贸鸽以救鸽命的仁德之王。
战达罗钵刺婆,梵语 Candraprabha 的音译，意为“月光”，或指月光童子等人物，待考。
鍮石释迦佛立像,以鍮石（黄铜合金）铸造的释迦牟尼站立佛像。
佛入涅槃卧像,表现佛陀右胁而卧、入灭涅槃姿态的造像。
金轮王齿,转轮圣王（金轮王）的牙齿，有时作为圣物供奉。
商诺迦缚娑大阿罗汉,即商那和修（Śāṇavāsa），佛陀弟子，付法藏第二祖。
商诺迦缚娑,同“商诺迦缚娑大阿罗汉”。
